city,country,eiu_region,year,value,rank
Muscat,Oman,Middle East & Africa,2022,52,128
Kuwait City,Kuwait,Middle East & Africa,2022,52,128
Douala,Cameroon,Middle East & Africa,2022,52,128
Sofia,Bulgaria,Eastern Europe,2022,50,132
Chiang Mai,Thailand,Asia & Australasia,2022,50,132
Abidjan,Côte d'Ivoire,Middle East & Africa,2022,50,132
Belgrade,Serbia,Eastern Europe,2022,50,132
Warsaw,Poland,Eastern Europe,2022,50,132
São Paulo,Brazil,Latin America & the Caribbean,2022,49,137
Rio de Janeiro,Brazil,Latin America & the Caribbean,2022,49,137
Panama City,Panama,Latin America & the Caribbean,2022,48,139
Lagos,Nigeria,Middle East & Africa,2022,47,140
Johannesburg,South Africa,Middle East & Africa,2022,47,140
Dakar,Senegal,Middle East & Africa,2022,47,140
Casablanca,Morocco,Middle East & Africa,2022,47,140
Cairo,Egypt,Middle East & Africa,2022,47,140
Asunción,Paraguay,Latin America & the Caribbean,2022,45,145
Monterrey,Mexico,Latin America & the Caribbean,2022,45,145
Surabaya,Indonesia,Asia & Australasia,2022,45,145
Mumbai,India,Asia & Australasia,2022,45,145
Penang,Malaysia,Asia & Australasia,2022,45,145
Bogotá,Colombia,Latin America & the Caribbean,2022,45,145
Kathmandu,Nepal,Asia & Australasia,2022,44,151
Pretoria,South Africa,Middle East & Africa,2022,44,151
Budapest,Hungary,Eastern Europe,2022,44,151
Buenos Aires,Argentina,Latin America & the Caribbean,2022,43,154
Manaus,Brazil,Latin America & the Caribbean,2022,42,155
Bucharest,Romania,Eastern Europe,2022,42,155
Lusaka,Zambia,Middle East & Africa,2022,41,157
Caracas,Venezuela,Latin America & the Caribbean,2022,40,158
New Delhi,India,Asia & Australasia,2022,40,158
Istanbul,Turkey,Western Europe,2022,40,158
Algiers,Algeria,Middle East & Africa,2022,38,161
Bangalore,India,Asia & Australasia,2022,38,161
Colombo,Sri Lanka,Asia & Australasia,2022,38,161
Chennai,India,Asia & Australasia,2022,37,164
Ahmedabad,India,Asia & Australasia,2022,35,165
Almaty,Kazakhstan,Eastern Europe,2022,34,166
Karachi,Pakistan,Asia & Australasia,2022,32,167
Tashkent,Uzbekistan,Eastern Europe,2022,31,168
Tunis,Tunisia,Middle East & Africa,2022,30,169
Tehran,Iran,Middle East & Africa,2022,23,170
Tripoli,Libya,Middle East & Africa,2022,22,171
Damascus,Syria,Middle East & Africa,2022,11,172
New York,US,North America,2021,100,5
Singapore,Singapore,Asia & Australasia,2021,104,2
Tel Aviv,Israel,Middle East & Africa,2021,106,1
Los Angeles,US,North America,2021,96,9
Hong Kong,Hong Kong,Asia & Australasia,2021,101,4
Zurich,Switzerland,Western Europe,2021,103,3
Geneva,Switzerland,Western Europe,2021,99,7
San Francisco,US,North America,2021,84,24
Paris,France,Western Europe,2021,100,5
Sydney,Australia,Asia & Australasia,2021,90,14
Copenhagen,Denmark,Western Europe,2021,97,8
